Title,Link,Date Posted,Company,Location,Salary,Job Type
DevOps Engineer - Security Data and AI Lab,https://findajob.dwp.gov.uk/details/18139731,03 April 2026,Lloyds Banking Group,"Bristol, Bristol, BS1 5LF","£48,987 to £55,000 per year",Hybrid remote
Data Platform Lead,https://findajob.dwp.gov.uk/details/18184406,14 April 2026,inploi,"Salford, M275DA",Not specified,Permanent
PERFORMANCE ENGINEER - (MARINE SYSTEMS DATA & ANALYTICS),https://findajob.dwp.gov.uk/details/18195527,16 April 2026,Spot,"Southampton, Hampshire","£45,000 to £65,000 per year",Hybrid remote
Financial Crime Data & Analytics Manager,https://findajob.dwp.gov.uk/details/18130062,02 April 2026,NatWest Group,"Edinburgh, EH12 1HQ",Not specified,Permanent
Senior Manager - Principal AI Engineer,https://findajob.dwp.gov.uk/details/17855227,13 April 2026,KPMG UK,"Manchester, M2 3AE",Not specified,Permanent
Quantexa Senior Manager- Tech Lead,https://findajob.dwp.gov.uk/details/17855305,13 April 2026,KPMG UK,"London, E14 5GL",Not specified,Permanent
Business Intelligence Lead,https://findajob.dwp.gov.uk/details/18240982,24 April 2026,inploi,"Hemel Hempstead, HP2 4YL",Not specified,Permanent
Manager - Lead AI Engineer,https://findajob.dwp.gov.uk/details/17855282,13 April 2026,KPMG UK,"Manchester, M2 3AE",Not specified,Permanent
Data Analyst,https://findajob.dwp.gov.uk/details/18181958,14 April 2026,Travail Employment Group,"Wellingborough, Northamptonshire, NN8 4HB",£16.41 per hour,On-site only
Data Analyst,https://findajob.dwp.gov.uk/details/18154498,08 April 2026,Search Consultancy LTD,"Liverpool, Merseyside, l3 9sj","£29,000.00 to £32,000.00 per year",On-site only
Data and MI Manager,https://findajob.dwp.gov.uk/details/18218959,21 April 2026,Capita plc,W2 6BD,Not specified,On-site only
"Deputy Director of BI, Performance & Population Health Management | Mersey Care NHS Foundation Trust",https://findajob.dwp.gov.uk/details/18254963,28 April 2026,Mersey Care NHS Foundation Trust,"Liverpool, L34 1PJ","£112,782 - £129,783 per annum",Permanent
AI / ML Engineer,https://findajob.dwp.gov.uk/details/18255954,28 April 2026,FORGE HOLIDAY GROUP LTD,"Cheshire, CH1 3BQ","£80,000.00 per year",Permanent
Software Developer,https://findajob.dwp.gov.uk/details/18202630,17 April 2026,Government Recruitment,"Newcastle Upon Tyne, Tyne & Wear","£43,760 per year",Hybrid remote
Software Developer,https://findajob.dwp.gov.uk/details/18202635,17 April 2026,Government Recruitment,"York, North Yorkshire","£43,760 per year",Hybrid remote
Software Developer,https://findajob.dwp.gov.uk/details/18202602,17 April 2026,Government Recruitment,"Bristol, South West England","£43,760 per year",Hybrid remote
Software Developer,https://findajob.dwp.gov.uk/details/18202609,17 April 2026,Government Recruitment,"Glasgow, Scotland","£43,760 per year",Hybrid remote
Software Developer,https://findajob.dwp.gov.uk/details/18202613,17 April 2026,Government Recruitment,"Manchester, Greater Manchester","£43,760 per year",Hybrid remote
Senior Data Analyst,https://findajob.dwp.gov.uk/details/18205081,17 April 2026,Talent Finder,BB1 3NU,"£40,000 to £50,000 per year",On-site only
Software Engineer,https://findajob.dwp.gov.uk/details/18220152,21 April 2026,NHS Jobs,"Carnforth, LA6 2HQ","£45,000.00 to £50,000.00 per year",Permanent
Power BI Engineer,https://findajob.dwp.gov.uk/details/18233078,23 April 2026,Ipsum Utilities Limited,PR7 1NY,Not specified,Permanent
Senior Analyst,https://findajob.dwp.gov.uk/details/18257147,28 April 2026,inploi,"Salford, M275DA",Not specified,Permanent
Deep Learning Consultant,https://findajob.dwp.gov.uk/details/18206856,19 April 2026,DEVI TECHNOLOGIES LIMITED,B18 6BA,"£54,500 to £59,500 per year",Hybrid remote
Lead Engineer - Software & HPC Engineering,https://findajob.dwp.gov.uk/details/18219795,21 April 2026,Rullion,"Oxford, Oxfordshire, ox14 3DB",Not specified,Permanent
Analytics Engineer,https://findajob.dwp.gov.uk/details/18262783,29 April 2026,NHS Jobs,"Cwmbran, NP44 3HR","£40,559.00 to £48,841.00 per year",Contract
Senior Data Scientist-Analytics Lead | East Suffolk and North Essex NHS Foundation Trust,https://findajob.dwp.gov.uk/details/18248656,27 April 2026,Colchester Hospital University NHS Foundation Trust,"Ipswich/Colchester, CO4 5JL","£57,528 - £64,750 per annum",Permanent
"Senior Data Developer - West Midlands, UK",https://findajob.dwp.gov.uk/details/18271030,30 April 2026,Housing 21,"West Midlands, UK, B16 8TP","£64,787 per year",Permanent
Data Analyst,https://findajob.dwp.gov.uk/details/18252729,28 April 2026,Housing Solutions,"Maidenhead, Windsor & Maidenhead","£45,000 per year",Hybrid remote
Data Analyst - Lead,https://findajob.dwp.gov.uk/details/18171544,13 April 2026,ISS Facilities Services,E14 9SH,Not specified,On-site only
Fire extinguisher service engineer,https://findajob.dwp.gov.uk/details/18236665,24 April 2026,A1 Fire Protection,Glasgow edi,Not specified,On-site only
Fire extinguisher service engineer,https://findajob.dwp.gov.uk/details/18236337,24 April 2026,A1 Fire Protection,Glasgow edin,Not specified,On-site only
BI Business Manager (12 month FTC),https://findajob.dwp.gov.uk/details/18176748,13 April 2026,inploi,"London, W10 5BU",Not specified,Permanent
Senior Data Scientist,https://findajob.dwp.gov.uk/details/18209751,20 April 2026,Lloyds Banking Group,"Manchester, Greater Manchester, M1 3HU","£72,702 to £80,780 per year",Hybrid remote
Senior Data Scientist,https://findajob.dwp.gov.uk/details/18209752,20 April 2026,Lloyds Banking Group,"Edinburgh, Edinburgh, EH11 4DT","£72,702 to £80,780 per year",Hybrid remote
Senior Data Scientist,https://findajob.dwp.gov.uk/details/18209753,20 April 2026,Lloyds Banking Group,"Leeds, West Yorkshire, LS1 4AP","£72,702 to £80,780 per year",Hybrid remote
Senior Data Scientist,https://findajob.dwp.gov.uk/details/18209754,20 April 2026,Lloyds Banking Group,"Bristol, Bristol, BS1 5LF","£72,702 to £80,780 per year",Hybrid remote
Head of Business Systems,https://findajob.dwp.gov.uk/details/18268559,30 April 2026,Dignity,"Berkshire, SL6 8QZ","£150,000 per year",Permanent
ML Consultant,https://findajob.dwp.gov.uk/details/18206822,19 April 2026,DEVI TECHNOLOGIES LIMITED,B18 6BA,"£54,800 to £60,000 per year",Hybrid remote
Director - Digital Audit & Analytics,https://findajob.dwp.gov.uk/details/17864370,15 April 2026,KPMG UK,"Manchester, M2 3AE",Not specified,Permanent
Data Consultant,https://findajob.dwp.gov.uk/details/18224749,22 April 2026,auticon,"SE London, London","£29,000 to £40,000 per year",Hybrid remote
16995 - Power BI Developer,https://findajob.dwp.gov.uk/details/18215395,21 April 2026,Ministry of Justice,UK,"£42,914 to £53,081 per year",Hybrid remote
AI & Digital Twin Systems Engineer (KTP Associate),https://findajob.dwp.gov.uk/details/18244933,27 April 2026,University of Derby,"Derby, Derbyshire","£38,000 to £40,000 per year",On-site only
Research Fellow,https://findajob.dwp.gov.uk/details/18236992,24 April 2026,University of Warwick,UK,"£35,608 to £46,049 per year",Fully remote
Senior Quality Engineer,https://findajob.dwp.gov.uk/details/18203411,17 April 2026,Balfour Beatty Plc,"Ipswich, IP",Not specified,Permanent
Success Factor - Data Analyst,https://findajob.dwp.gov.uk/details/18258280,29 April 2026,Thames Water,"Reading, Home Counties, RG1 8DB","£64,000 per year",Permanent
34788 - Asset Performance Team Member,https://findajob.dwp.gov.uk/details/18210201,20 April 2026,Environment Agency,Lincoln,"£29,751 per year",Hybrid remote
34809 - Asset Performance Team Member,https://findajob.dwp.gov.uk/details/18210723,20 April 2026,Environment Agency,Kettering,"£29,751 per year",Hybrid remote
Engineering Recruitment Consultant,https://findajob.dwp.gov.uk/details/18212221,20 April 2026,KPI RECRUITING LTD,SM2 5AE,Not specified,On-site only
Analytics Engineer | South London and Maudsley NHS Foundation Trust,https://findajob.dwp.gov.uk/details/18194978,16 April 2026,South London and Maudsley NHS Foundation Trust,"Croydon, CR0 1ER","£61,631 - £68,623 Per annum",Permanent
Mechanical Engineer,https://findajob.dwp.gov.uk/details/18181460,14 April 2026,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX","£50,000 to £55,000 per year",Hybrid remote
Mechanical Shift Engineer,https://findajob.dwp.gov.uk/details/18164188,10 April 2026,Mitie,UB7 0EQ,Not specified,Permanent
Electrical Engineer,https://findajob.dwp.gov.uk/details/18229485,23 April 2026,The Best Connection Group Limited,"Swansea, Swansea, SA1 8QX",£13.00 to £15 per hour,Temporary
Lead Power BI Developer,https://findajob.dwp.gov.uk/details/18203959,17 April 2026,Ipsum Utilities Limited,WA11 9UX,Not specified,Permanent
Security Assurance Consultant,https://findajob.dwp.gov.uk/details/18217726,21 April 2026,Hays Specialist Recruitment,"London, London, E1 1AA",£620.0 to £670.0 per day,Hybrid remote
Maintenance Engineer (1018),https://findajob.dwp.gov.uk/details/18190102,15 April 2026,Wills Consultants Ltd,"Coalville, Leicestershire","£52,000 per year",On-site only
Training Delivery Instructor (Navigation Systems),https://findajob.dwp.gov.uk/details/18180011,14 April 2026,Capita plc,PO14 1AS,"£40,000 to £41,265 per year",On-site only
Software Engineer – Gen AI (Full Stack),https://findajob.dwp.gov.uk/details/18259413,29 April 2026,I Net Software Solutions,"Hounslow, London","£55,000 to £58,000 per year",Hybrid remote
