title,experience_level,company,location,city,date_posted,salary,link,job_type
Graduate Software Developer,Entry-Level,Measom,LE4 5JD,LE4 5JD,2026-04-16,"£26,000 to £30,000 per year",https://findajob.dwp.gov.uk/details/18193697,On-site only
Software Developer/Engineer,Entry-Level,Talent Finder,S6 1ND,S6 1ND,2026-04-23,Not specified,https://findajob.dwp.gov.uk/details/18229433,On-site only
Technology Implementation Assistant Manager - Data & Transformation - London,Manager,KPMG UK,"London, E14 5GL",London,2026-04-22,Not specified,https://findajob.dwp.gov.uk/details/17855399,Permanent
Senior Enterprise Architect | NHS England,Senior,NHS England,"Nationally, LS1 4AP",Nationally,2026-04-16,"£95,404.80 - £109,930.80 per annum (exclusive of HCAS) this includes a RRP payment of 20%",https://findajob.dwp.gov.uk/details/18196689,Permanent
Data and Analytics Lead,Lead,Oxfordshire County Council,"Oxford/Hybrid, OX1 1ND",Oxford/Hybrid,2026-04-10,"£63,576 to £67,003 per year",https://findajob.dwp.gov.uk/details/18167945,Permanent
Senior Data Architect,Senior,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£57,000 to £72,000 per year",https://findajob.dwp.gov.uk/details/18228557,Hybrid remote
Engineering Admin Apprentice,Entry-Level,HIJOBS,"Dunfermline, KY11 2BW",Dunfermline,2026-04-01,Not specified,https://findajob.dwp.gov.uk/details/18119675,On-site only
Maintenance Engineer (1007/1021),Entry-Level,Wills Consultants Ltd,"Sheffield, South Yorkshire",Sheffield,2026-04-24,"£41,600 to £52,700 per year",https://findajob.dwp.gov.uk/details/18236197,On-site only
Senior Insight Analyst,Senior,Compass Group,"Birmingham, B459PZ",Birmingham,2026-04-09,Not specified,https://findajob.dwp.gov.uk/details/18157462,Permanent
AI Senior Consultant - Tax Technology & Innovation,Senior,KPMG UK,"Glasgow, G2 5AS",Glasgow,2026-04-22,Not specified,https://findajob.dwp.gov.uk/details/17855379,Permanent
Assistant Industrial Door Engineer,Entry-Level,Get Staffed Online Recruitment Limited,"Kettering, NN16 8PX",Kettering,2026-04-30,"£20,800 to £25,396 per year",https://findajob.dwp.gov.uk/details/18268891,On-site only
Life Cycle Consultant - Aftermarket,Entry-Level,Randstad CPE,"Peterborough, Cambridgeshire, PE1 5NA",Peterborough,2026-04-24,£31.50 to £33.5 per hour,https://findajob.dwp.gov.uk/details/18241484,On-site only
